year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
2011,N1+1+1 KMg,19.7,2.56,286.20084136763427,454.2710796818137,15700914.392156864,2.567969
2012,(FYM) N4 ,27.8,14.32,285.8771980634702,519.5364610925317,15178482.633986928,13.632746
2012,FYM N3,29.3,18.24,285.8771980634702,519.5364610925317,15178482.633986928,18.104448
2012,FYM,28.4,11.21,285.8771980634702,519.5364610925317,15178482.633986928,11.285319
2012,Nil,22.5,1.65,285.8771980634702,519.5364610925317,15178482.633986928,1.6241738
2012,(P)KMg,23.4,3.56,285.8771980634702,519.5364610925317,15178482.633986928,3.411351
2012,N1(P)KMg,25.7,5.75,285.8771980634702,519.5364610925317,15178482.633986928,5.9128647
2012,N2(P)KMg,25.1,8.85,285.8771980634702,519.5364610925317,15178482.633986928,8.755085
2012,N3(P)KMg,28.7,10.85,285.8771980634702,519.5364610925317,15178482.633986928,11.316934
2012,N4(P)KMg,25.6,10.16,285.8771980634702,519.5364610925317,15178482.633986928,9.605559
2012,N4,19.7,0.96,285.8771980634702,519.5364610925317,15178482.633986928,0.90547496
2012,N4PMg,27.8,5.44,285.8771980634702,519.5364610925317,15178482.633986928,5.4867835
2012,N1+3+1(P)KMg,25.3,9.33,285.8771980634702,519.5364610925317,15178482.633986928,10.167261
2012,N4PK,26.1,10.72,285.8771980634702,519.5364610925317,15178482.633986928,10.723936
2012,N4PK*(Mg*),26.7,9.82,285.8771980634702,519.5364610925317,15178482.633986928,10.291062
2012,N5(P)KMg,24.5,9.94,285.8771980634702,519.5364610925317,15178482.633986928,9.980103
2012,N6(P)KMg,28.7,9.13,285.8771980634702,519.5364610925317,15178482.633986928,9.706223
2012,N1+4+1 PKMg,25.3,9.13,285.8771980634702,519.5364610925317,15178482.633986928,9.088175
2012,N1+2+1 PKMg,27.4,11.46,285.8771980634702,519.5364610925317,15178482.633986928,10.816638
2012,N1+1+1 KMg,24.9,5.43,285.8771980634702,519.5364610925317,15178482.633986928,5.5034933
2013,(FYM) N4 ,30.7,3.51,286.46427827722886,350.0298012439161,16054857.25490196,3.6568666
2013,FYM N3,26.5,6.65,286.46427827722886,350.0298012439161,16054857.25490196,9.948608
2013,FYM,27.9,8.75,286.46427827722886,350.0298012439161,16054857.25490196,8.719014
2013,Nil,20.5,1.34,286.46427827722886,350.0298012439161,16054857.25490196,1.3091346
2013,(P)KMg,22.9,3.32,286.46427827722886,350.0298012439161,16054857.25490196,3.2640264
2013,N1(P)KMg,26.2,5.9,286.46427827722886,350.0298012439161,16054857.25490196,5.7991805
2013,N2(P)KMg,25.1,4.48,286.46427827722886,350.0298012439161,16054857.25490196,4.5708776
2013,N3(P)KMg,25.4,6.14,286.46427827722886,350.0298012439161,16054857.25490196,6.02396
2013,N4(P)KMg,23.3,4.52,286.46427827722886,350.0298012439161,16054857.25490196,4.984328
2013,N4,20.3,2.07,286.46427827722886,350.0298012439161,16054857.25490196,1.8926489
2013,N4PMg,24.0,4.36,286.46427827722886,350.0298012439161,16054857.25490196,4.3220506
2013,N1+3+1(P)KMg,28.1,6.52,286.46427827722886,350.0298012439161,16054857.25490196,6.6394773
2013,N4PK,27.6,8.8,286.46427827722886,350.0298012439161,16054857.25490196,8.764094
2013,N4PK*(Mg*),28.5,9.52,286.46427827722886,350.0298012439161,16054857.25490196,9.213882
2013,N5(P)KMg,25.7,7.03,286.46427827722886,350.0298012439161,16054857.25490196,7.748729
2013,N6(P)KMg,24.7,6.57,286.46427827722886,350.0298012439161,16054857.25490196,6.55337
2013,N1+4+1 PKMg,24.9,3.46,286.46427827722886,350.0298012439161,16054857.25490196,3.8514025
2013,N1+2+1 PKMg,24.1,5.95,286.46427827722886,350.0298012439161,16054857.25490196,5.723131
2013,N1+1+1 KMg,21.0,3.1,286.46427827722886,350.0298012439161,16054857.25490196,4.7682915
